,Question
0,<p>Suppose you try to perform a binary search on a 5-element array sorted in the reverse order of what the binary search algorithm expects. How many of the items in this array will be found if they are searched for?</p>
1,<p>Which data structure used to implement&nbsp;<code>Set</code>&nbsp;yields the worst performance for <code>Set.contains</code>?</p>
3,"<p>For a graph with N nodes, what's the minimum number of edges it must have for it to contain a cycle?</p>"
4,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 8</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
"
5,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs log<sub>2</sub>&nbsp;N&nbsp;operations. Algorithm B performs log<sub>3</sub> N&nbsp;operations. Under what conditions does algorithm A offer better performance?</p>
6,<p>Finding the median value in a complete and balanced binary search tree is</p>
7,"<p>For a heap of size n, which is indexed at 0, at what position will its last child be?</p>"
8,<p>What design stategy does Quicksort use?</p>
9,"<p>If you did not have a base case in a recursive function in C, and were working on a modern Unix-based system, what would most likely happen?</p>"
10,"
<p>The following Python method determines whether or not a list of values, passed in as a parameter, has any duplicate values.</p>
<p>What is the Big-Oh running time of this algorithm?</p>
<p>def duplicates(lov):</p>
<p>&nbsp; &nbsp; dupCount = 0<br>&nbsp; &nbsp; outer = 0<br>&nbsp; &nbsp; while (outer &lt; len(lov)):<br>&nbsp; &nbsp; &nbsp; &nbsp; inner = outer + 1<br>&nbsp; &nbsp; &nbsp; &nbsp; while (inner &lt; len(lov)):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; if (lov[inner] == lov[outer]):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; dupCount = dupCount + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; inner = inner + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; outer = outer + 1</p>
<p>&nbsp; &nbsp; if (dupCount == 0):<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are no duplicate values""<br>&nbsp; &nbsp; else:<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are "", dupCount, "" duplicate values""</p>
"
11,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getTrue();
  }
}
</pre>
"
12,"<p>You are storing a complete binary tree in an array, with the root at index 0. At what index is node i's parent?</p>"
13,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;the part of a compiler that determines whether the parentheses in a program are balanced?</p>
15,"
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getFalse();
  }
}
</pre>
"
16,"<p>Kexin is hashing the values 9, 45, 22, 48, 38 into a hash table of size 20. Which hash function will give her no collisions?</p>"
18,"
<p>True or False:</p>
<p>Breadth-first search (BFS) and Depth-first search (DFS) visit nodes of a graph in the same order only if the graph looks like a linear chain, or linked list, and the traversal starts at one of the ends.</p>
<p>For example, BFS and DFS starting at node A are the same for the following graph:</p>
<p>A &lt;-&gt; B &lt;-&gt; C</p>
"
19,<p>For the Insertion sort algorithm; what is its best case and worst case performance?</p>
20,<p>For the selection sort algorithm; what is its best case and worst case running time?</p>
21,<p>You see the expression <code>n = 100000</code> in some code that successfully compiles. What type can <code>n</code> not be?</p>
22,"<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. Which element will not be found when you try searching for it?</p>"
25,"
<p>Fill in the single missing line of code:<br><code>int p, *r, **q;</code></p>
<pre lang=""text/x-c"">p = 27;
r = &amp;p;
</pre>
<p>// MISSING LINE<br><code>printf(""The value is %d"", **q); // prints 27.</code></p>
"
26,<p>What would be the performance of removeMin and insert methods in a priority queue if it is implemented by a sorted list?</p>
27,"
<p>What is the value of j after this code is executed?</p>
<p>int i = 6, j = 10;</p>
<p>j += i;</p>
"
28,"
<p>Suppose q is an instance of a queue that can store Strings, and I execute the following statements starting with q empty:</p>
<pre lang=""text/x-java"">1. q.enqueue(""Sweden"");
2. q.enqueue(""is"");
3. q.enqueue(""my"");
4. String w = q.dequeue();
5. String x = q.peek();
6. q.enqueue(""neighbor"");
7. String y = q.dequeue();
8. String z = q.dequeue();
</pre>
<p>&nbsp;</p>
<p>What is the value of z after executing these expressions in order?</p>
"
29,<p>Which of the following parts of a process&rsquo; memory is the largest?</p>
30,<p>Prim&rsquo;s Algorithm is used to solve what problem?</p>
31,"
<p>Suppose you have a tree with a maximum depth of d and an average branching factor of b (i.e. each node has b children). You are searching for a particular node S located at depth m (m &lt;= d). You don't know where the node S is located, just that it is at depth m.</p>
<p>What is an upper bound on the <em>space</em> complexity of breadth-first search (i.e. big-O notation) to find the node S starting from the root?</p>
"
32,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of the back button on a Web browser?</p>
33,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;a program modeling the arrival of patients to an emergency room in a hospital?</p>
34,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N/2 operations. Algorithm B performs N log N operations. Under what conditions does algorithm A offer better performance?</p>
35,<p>When is an adjacency matrix a good choice for implementing a graph?</p>
36,<p>What is true about the pivot in quicksort?</p>
37,<p>When is an adjacency list a good choice for implementing a graph?</p>
38,"<p>You've got an algorithm that is O(N<sup>2</sup>). On the first run, you feed it a collection of size M. On the second run, you feed it a collection of size M / 2. Assuming each run has worst-case performance, how much time does the second run take?<span style=""font-size: small;""><br></span></p>"
39,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N<sup>2</sup> operations. Algorithm B performs 10N operations. Under what conditions does algorithm A offer better performance?</p>
40,"
<pre lang=""text/x-java"">1.  public BallPanel extends javax.swing.JPanel {
2.     private Ball[] _balls;
3.     public BallPanel(int numberOfBalls){
4.        ??????
5.        for (int i=0;i&lt;_balls.length;i++)
6.           _balls[i] = new Ball();
7.     }
8.  }
</pre>
<p>&nbsp;</p>
<p>We need to add something at line 4 above to avoid an error in line 5.&nbsp; Which of the following line 4 expressions fix the error in line 5?</p>
"
41,"
<p>Which of the following makes an appropriate pre-condition for this code?<br>double calculate_percentage(double sum, double n)<br><code>{</code></p>
<pre lang=""text/x-c"">    // calculates and returns a percentage given a sum and a length (n)
    // &lt;missing pre-condition&gt;
    // POST: none
    return (sum / n) * 100;
}
</pre>
"
42,"
<p>Consider writing a program to be used by a farm to keep track of information about the fruits and vegetables they sell. For each sale, they would like to keep track of the type of item (eggplant, tomato, etc.), the quantity sold, the price, and the market at which the sale was made. Which of the following is the best way to represent the information?</p>
"
